timestamp_us,up,down,left,right
309125605,1,0,0,0
311865344,0,0,0,1
314115240,1,0,0,0
316281220,0,0,0,1
317127311,1,0,0,0
318829289,0,0,0,1
319329726,1,0,0,0
326088378,0,0,1,0
327172099,1,0,0,0
329230882,0,0,0,1
330035902,1,0,0,0
331908781,0,0,1,0
332640994,0,0,1,0
333650479,1,0,0,0
337527213,0,0,0,1
347929305,0,1,0,0
350379331,0,0,1,0
352009957,0,0,0,0
355992844,0,1,0,0
362944828,0,0,0,0
