timestamp_us,up,down,left,right
118861387,1,0,0,0
120687283,0,0,1,0
121423547,1,0,0,0
124484545,0,0,0,1
124793109,1,0,0,0
130023138,0,0,0,1
133046078,0,1,0,0
140864837,0,0,1,0
148437348,0,0,0,0
148844606,0,0,0,1
150008051,1,0,0,0
150298126,0,0,0,1
160928815,1,0,0,0
165805652,0,0,0,1
166448077,1,0,0,0
168204305,0,0,0,1
171015654,0,0,0,0
171659531,1,0,0,0
173252812,0,0,0,0
174434829,1,0,0,0
175982078,0,0,0,0
