timestamp_us,up,down,left,right
117929594,1,0,0,0
121069844,0,0,0,0
121552893,0,0,0,1
122369053,0,0,0,0
122950155,1,0,0,0
123800869,0,0,0,0
124174444,0,0,0,1
124995180,0,0,0,0
125288108,1,0,0,0
126540358,0,0,0,0
127379111,0,0,0,1
128986015,0,0,0,0
129466499,1,0,0,0
132671269,0,0,0,1
133309172,0,0,0,0
133700498,1,0,0,0
138800912,0,0,0,0
139720959,1,0,0,0
142701819,0,0,0,1
144233855,1,0,0,0
145997214,0,0,1,0
147389005,1,0,0,0
148511477,0,0,0,1
149641270,1,0,0,0
151279195,0,1,0,0
154564239,0,0,1,0
155895052,1,0,0,0
156836488,0,0,0,1
157543441,1,0,0,0
161333958,0,0,0,1
163860246,1,0,0,0
164713071,0,0,0,1
165409943,1,0,0,0
166252231,0,0,0,1
166732141,1,0,0,0
169193812,0,0,1,0
169809157,1,0,0,0
170720112,0,0,0,1
171140495,1,0,0,0
172009314,0,0,0,1
172365355,1,0,0,0
174608984,0,0,0,0
